Key,Score,Item,Recipe,(Score),Power,Items,Buildings,Resources,Buildings Scaled,Resources Scaled,Score Delta
33,58.9,Encased Uranium Cell,Alternate: Infused Uranium Cell,(58.9) Infused Uranium Cell,-0.03%,0.51%,1.31%,-0.25%,0.79%,-2.56%,0
34,57.1,High-Speed Connector,Alternate: Silicon High-Speed Connector,(57.1) Silicon High-Speed Connector,-0.06%,-0.59%,-0.71%,-0.15%,-0.41%,-0.16%,-1.8
35,57.1,Radio Control Unit,Alternate: Radio Control System,(57.1) Radio Control System,-0.95%,0.75%,-1.22%,0.33%,-1.99%,0.10%,0
36,56.4,Steel Ingot,Alternate: Solid Steel Ingot,(56.4) Solid Steel Ingot,-0.14%,-0.27%,0.27%,-2.46%,0.25%,-0.96%,-0.7
37,56.1,Heat Sink,Alternate: Heat Exchanger,(56.1) Heat Exchanger,-0.19%,-0.41%,-0.57%,-0.40%,-0.60%,0.01%,-0.3
38,56,Plastic,Alternate: Recycled Plastic,(56) Recycled Plastic,0.11%,0.42%,0.10%,-0.03%,0.10%,-0.77%,-0.1
39,55.8,Iron Plate,Alternate: Coated Iron Plate,(55.8) Coated Iron Plate,-0.07%,-0.48%,-1.26%,-0.49%,-0.35%,-0.11%,-0.2
40,55.7,Reinforced Iron Plate,Alternate: Adhered Iron Plate,(55.7) Adhered Iron Plate,-0.01%,-0.94%,-0.20%,-0.13%,-0.04%,0.04%,-0.1
41,53.7,Reinforced Iron Plate,Alternate: Stitched Iron Plate,(53.7) Stitched Iron Plate,-0.03%,-0.51%,-0.24%,-0.04%,-0.08%,-0.01%,-2
42,53.7,Cable,Alternate: Insulated Cable,(53.7) Insulated Cable,-0.04%,-0.43%,-0.74%,-0.06%,-0.31%,0.13%,0
43,53.3,Cable,Alternate: Coated Cable,(53.3) Coated Cable,0.04%,-0.38%,-0.62%,-0.07%,-0.19%,0.02%,-0.4
44,53.2,Wire,Alternate: Fused Wire,(53.2) Fused Wire,-0.03%,-0.34%,-1.07%,-0.42%,-0.09%,-0.09%,-0.1
45,53.2,Smart Plating,Alternate: Plastic Smart Plating,(53.2) Plastic Smart Plating,0.00%,-0.17%,-0.54%,-0.05%,-0.33%,-0.01%,0
46,53.2,Rotor,Alternate: Copper Rotor,(53.2) Copper Rotor,-0.01%,-0.27%,-0.51%,0.17%,-0.28%,0.03%,0
47,53.1,Iron Plate,Alternate: Steel Cast Plate,(53.1) Steel Cast Plate,0.00%,-0.33%,-0.97%,-0.40%,-0.09%,-0.09%,0
48,53,Rocket Fuel,Alternate: Nitro Rocket Fuel,(53) Nitro Rocket Fuel,-1.39%,0.03%,-2.35%,2.23%,-3.13%,2.56%,-0.1
49,52.9,Copper Sheet,Alternate: Steamed Copper Sheet,(52.9) Steamed Copper Sheet,0.47%,-0.43%,-2.36%,0.08%,0.18%,-0.20%,-0.1
50,52.8,Supercomputer,Alternate: OC Supercomputer,(52.8) OC Supercomputer,-0.73%,0.95%,-1.76%,0.64%,-2.19%,0.75%,-0.1
51,52.5,Rotor,Alternate: Steel Rotor,(52.5) Steel Rotor,0.04%,-0.51%,-0.14%,0.13%,0.03%,0.07%,-0.3
52,52.2,Caterium Ingot,Alternate: Tempered Caterium Ingot,(52.2) Tempered Caterium Ingot,-0.04%,-0.87%,1.39%,-1.48%,-0.19%,0.67%,-0.2
53,51.9,Cooling System,Alternate: Cooling Device,(51.9) Cooling Device,0.08%,0.01%,0.24%,-0.23%,0.17%,-0.46%,-0.3
54,51.9,Quartz Crystal,Alternate: Pure Quartz Crystal,(51.9) Pure Quartz Crystal,0.36%,0.27%,-1.21%,0.61%,0.32%,-0.84%,0
55,51.8,Electromagnetic Control Rod,Alternate: Electromagnetic Connection Rod,(51.8) Electromagnetic Connection Rod,0.01%,-0.21%,-0.36%,-0.01%,-0.15%,0.07%,-0.1
56,51.7,Cable,Alternate: Quickwire Cable,(51.7) Quickwire Cable,0.04%,-0.50%,-0.25%,-0.08%,0.12%,0.09%,0
57,51.7,Wire,Alternate: Caterium Wire,(51.7) Caterium Wire,-0.06%,-0.28%,-1.03%,-0.33%,-0.32%,0.31%,-0.1
58,51.6,Stator,Alternate: Quickwire Stator,(51.6) Quickwire Stator,-0.14%,-0.21%,-0.34%,0.01%,-0.57%,0.49%,-0.1
59,51.5,Modular Frame,Alternate: Bolted Frame,(51.5) Bolted Frame,-0.39%,1.39%,-1.60%,-0.12%,-1.63%,0.01%,-0.1
60,51.4,Reinforced Iron Plate,Alternate: Bolted Iron Plate,(51.4) Bolted Iron Plate,-0.11%,0.25%,-0.44%,0.00%,-0.50%,0.01%,0
61,51.1,Black Powder,Alternate: Fine Black Powder,(51.1) Fine Black Powder,-0.04%,-0.03%,-0.12%,-0.03%,-0.10%,-0.05%,-0.3
62,51,Heavy Oil Residue,Alternate: Heavy Oil Residue,(51) Heavy Oil Residue,0.05%,0.08%,-0.08%,-0.14%,-0.19%,0.00%,-0.1
63,50.8,Versatile Framework,Alternate: Flexible Framework,(50.8) Flexible Framework,0.04%,-0.14%,-0.15%,-0.06%,0.01%,-0.01%,-0.2
64,50.7,Turbofuel,Alternate: Turbo Heavy Fuel,(50.7) Turbo Heavy Fuel,-0.31%,-0.20%,-0.44%,-0.21%,-0.40%,0.46%,-0.1
65,50.7,Screw,Alternate: Cast Screw,(50.7) Cast Screw,-0.01%,-0.05%,-1.51%,0.65%,-0.23%,0.16%,-0.1
66,50.3,Iron Ingot,Alternate: Iron Alloy Ingot,(50.3) Iron Alloy Ingot,0.01%,-0.06%,-0.28%,-0.14%,0.03%,-0.02%,-0.4
67,50.2,Fabric,Alternate: Polyester Fabric,(50.2) Polyester Fabric,0.00%,-0.02%,-0.02%,0.01%,-0.02%,0.01%,-0.1
68,50.1,Polymer Resin,Alternate: Polymer Resin,(50.1) Polymer Resin,0.00%,-0.01%,-0.01%,0.01%,-0.01%,0.01%,-0.1
69,50,Coal,Alternate: Biocoal,(50) Biocoal,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.1
70,50,Coal,Alternate: Charcoal,(50) Charcoal,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0
71,50,Dissolved Silica,Alternate: Quartz Purification,(50) Quartz Purification,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0
72,50,Heavy Oil Residue,Alternate: Polymer Resin,,-0.02%,-0.04%,0.04%,0.07%,0.09%,0.00%,0
73,50,Packaged Fuel,Alternate: Diluted Packaged Fuel,(50) Diluted Packaged Fuel,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0
74,50,Polymer Resin,Alternate: Heavy Oil Residue,,0.00%,0.01%,0.00%,-0.01%,0.00%,0.00%,0
75,49.7,Iron Ingot,Alternate: Pure Iron Ingot,(49.7) Pure Iron Ingot,0.06%,-0.02%,-0.23%,-0.05%,0.07%,-0.01%,-0.3
76,49.7,Iron Ingot,Alternate: Leached Iron ingot,(49.7) Leached Iron ingot,0.04%,-0.03%,-0.29%,-0.12%,0.02%,0.06%,-0.1
77,49.5,Wire,Alternate: Iron Wire,(49.5) Iron Wire,0.04%,-0.04%,0.61%,-0.17%,0.28%,-0.15%,-0.2
78,49.4,Empty Canister,Alternate: Coated Iron Canister,(49.4) Coated Iron Canister,0.01%,0.06%,0.06%,0.06%,0.16%,-0.11%,-0.1
79,49.3,Battery,Alternate: Classic Battery,(49.3) Classic Battery,0.03%,0.19%,0.54%,-0.45%,0.39%,-0.44%,-0.1
80,49.1,Empty Canister,Alternate: Steel Canister,(49.1) Steel Canister,-0.01%,0.17%,0.11%,0.12%,0.01%,-0.04%,-0.1
81,49,Quickwire,Alternate: Fused Quickwire,(49) Fused Quickwire,0.22%,0.93%,-1.53%,1.07%,0.77%,-1.47%,-0.1
82,49,Silica,Alternate: Cheap Silica,(49) Cheap Silica,0.30%,0.53%,-0.47%,1.25%,0.78%,-0.09%,-0.1
83,48.5,Steel Beam,Alternate: Molded Beam,(48.5) Molded Beam,0.02%,0.03%,-0.34%,0.24%,0.04%,0.17%,-0.5
84,48.5,Aluminum Casing,Alternate: Alclad Casing,(48.5) Alclad Casing,0.10%,0.15%,-0.53%,0.58%,0.27%,-0.16%,0
85,48.3,Iron Ingot,Alternate: Basic Iron Ingot,(48.3) Basic Iron Ingot,0.05%,0.06%,-0.17%,0.14%,0.13%,0.08%,-0.1
86,48.2,Silica,Alternate: Distilled Silica,(48.2) Distilled Silica,0.24%,0.72%,-0.85%,0.25%,0.81%,-0.18%,-0.1
87,48.1,Quartz Crystal,Alternate: Fused Quartz Crystal,(48.1) Fused Quartz Crystal,0.15%,0.28%,-1.29%,0.66%,0.23%,-0.18%,-0.1
88,46.5,Steel Pipe,Alternate: Molded Steel Pipe,(46.5) Molded Steel Pipe,0.10%,0.00%,-1.55%,0.49%,0.24%,0.31%,-1.5
89,46.4,Caterium Ingot,Alternate: Leached Caterium Ingot,(46.4) Leached Caterium Ingot,0.31%,0.27%,-0.34%,0.15%,0.48%,-0.16%,-0.1
90,46.1,Turbofuel,Alternate: Turbo Blend Fuel,(46.1) Turbo Blend Fuel,-0.53%,-0.02%,-1.13%,0.60%,-0.88%,1.46%,-0.3
91,45.3,Circuit Board,Alternate: Electrode Circuit Board,(45.3) Electrode Circuit Board,-0.20%,-0.24%,0.23%,-1.05%,-0.20%,1.15%,-0.8
92,44.1,Caterium Ingot,Alternate: Pure Caterium Ingot,(44.1) Pure Caterium Ingot,0.68%,0.32%,0.47%,0.68%,1.28%,-0.59%,-1.3
93,42.6,Encased Industrial Beam,Alternate: Encased Industrial Pipe,(42.6) Encased Industrial Pipe,0.43%,0.60%,1.83%,0.24%,1.25%,-0.60%,-1.4
94,42.1,Rubber,Alternate: Recycled Rubber,(42.1) Recycled Rubber,0.96%,2.06%,2.81%,1.41%,2.23%,0.20%,-0.5
95,38,Steel Ingot,Alternate: Compacted Steel Ingot,(38) Compacted Steel Ingot,0.15%,1.58%,0.48%,-0.85%,0.75%,-0.31%,-4.1
96,37.2,Quartz Crystal,Alternate: Quartz Purification,(37.2) Quartz Purification,0.73%,1.13%,-2.74%,1.04%,1.38%,-0.33%,-0.8
97,36.4,Plutonium Fuel Rod,Alternate: Plutonium Fuel Unit,(36.4) Plutonium Fuel Unit,0.19%,0.95%,0.74%,0.91%,0.33%,0.96%,-0.8
98,35.8,Diamonds,Alternate: Pink Diamonds,(35.8) Pink Diamonds,0.27%,-0.88%,2.31%,-4.14%,2.80%,0.53%,-0.6
99,34.9,Encased Plutonium Cell,Alternate: Instant Plutonium Cell,(34.9) Instant Plutonium Cell,1.04%,0.62%,0.53%,0.56%,0.82%,1.06%,-0.9
100,33,Steel Pipe,Alternate: Iron Pipe,(33) Iron Pipe,0.24%,1.46%,0.60%,2.02%,1.23%,0.18%,-1.8
101,23.1,Aluminum Scrap,Alternate: Instant Scrap,(23.1) Instant Scrap,1.48%,-2.71%,1.04%,-0.73%,5.16%,2.45%,-10
102,19.5,Copper Ingot,Alternate: Pure Copper Ingot,(19.5) Pure Copper Ingot,12.56%,-4.06%,-4.44%,-11.41%,23.19%,-11.53%,-3.6
103,13,Non-Fissile Uranium,Alternate: Fertile Uranium,(13) Fertile Uranium,2.76%,2.25%,2.19%,2.45%,2.13%,3.23%,-6.5
104,9.1,Radio Control Unit,Alternate: Radio Connection Unit,(9.1) Radio Connection Unit,0.62%,2.71%,3.92%,2.19%,1.98%,4.49%,-3.9
105,5.2,Diamonds,Alternate: Cloudy Diamonds,(5.2) Cloudy Diamonds,4.19%,5.40%,1.43%,11.85%,2.18%,3.98%,-3.9
106,4.2,Ionized Fuel,Alternate: Dark-Ion Fuel,(4.2) Dark-Ion Fuel,-0.23%,4.33%,2.59%,3.75%,0.87%,7.14%,-1
107,3.2,Dark Matter Crystal,Alternate: Dark Matter Crystallization,(3.2) Dark Matter Crystallization,4.62%,3.00%,3.19%,3.38%,1.66%,8.54%,-1
108,2.9,Diamonds,Alternate: Petroleum Diamonds,(2.9) Petroleum Diamonds,3.73%,6.85%,11.75%,-9.73%,8.28%,-0.72%,-0.3
109,2,Copper Ingot,Alternate: Leached Copper Ingot,(2) Leached Copper Ingot,5.20%,2.18%,-18.87%,-4.65%,4.66%,8.30%,-0.9
110,0.2,Copper Ingot,Alternate: Tempered Copper Ingot,(0.2) Tempered Copper Ingot,7.99%,9.95%,-3.63%,-16.70%,19.14%,-2.63%,-1.8
